take,label,device,side,ms,timestamp,serial,packet,p0,p1,p2,p3,p4,p5,ax,ay,az,gx,gy,gz,qw,qx,qy,qz
1,toe_down_shake,1,R,5.9,1783834219312,57974,0,223,223,222,222,223,259,0.0415,-0.0508,1.0034,0.06,-0.61,-0.49,0.1779,-0.0137,0.0077,-0.4670
1,toe_down_shake,1,R,5.9,1783834219312,57974,1,223,222,222,223,223,259,0.0400,-0.0508,1.0059,0.06,-0.55,-0.43,0.1779,-0.0136,0.0079,-0.4670
1,toe_down_shake,1,R,13.4,1783834219332,57975,0,223,223,222,223,222,259,0.0410,-0.0518,1.0127,-0.06,-0.24,-0.49,0.1779,-0.0138,0.0082,-0.4670
1,toe_down_shake,1,R,13.5,1783834219332,57975,1,222,222,223,223,223,258,0.0386,-0.0532,1.0093,-0.12,-0.18,-0.49,0.1779,-0.0138,0.0085,-0.4670
1,toe_down_shake,1,R,40.5,1783834219351,57976,0,222,222,222,223,222,258,0.0381,-0.0503,1.0024,-0.06,-0.43,-0.49,0.1779,-0.0135,0.0084,-0.4670
1,toe_down_shake,1,R,40.5,1783834219351,57976,1,223,223,222,223,223,259,0.0420,-0.0469,1.0029,0.06,-0.67,-0.49,0.1779,-0.0135,0.0080,-0.4670
1,toe_down_shake,1,R,54.9,1783834219371,57977,0,222,222,221,222,222,258,0.0547,-0.0439,1.0112,-0.06,1.46,-0.18,0.1778,-0.0138,0.0078,-0.4670
1,toe_down_shake,1,R,54.9,1783834219371,57977,1,222,223,222,223,223,259,0.0444,-0.0449,1.0073,-0.55,5.92,0.00,0.1778,-0.0138,0.0076,-0.4670
1,toe_down_shake,1,R,71.1,1783834219390,57978,0,223,223,222,223,222,258,0.0332,-0.0469,1.0049,-0.43,6.47,0.00,0.1778,-0.0132,0.0076,-0.4670
1,toe_down_shake,1,R,71.1,1783834219390,57978,1,223,223,222,223,223,258,0.0356,-0.0420,1.0107,-0.31,3.54,-0.31,0.1778,-0.0127,0.0076,-0.4671
1,toe_down_shake,1,R,100.8,1783834219410,57979,0,223,223,222,223,223,258,0.0488,-0.0483,1.0073,-2.87,4.46,-0.49,0.1778,-0.0128,0.0076,-0.4671
1,toe_down_shake,1,R,100.9,1783834219410,57979,1,222,222,222,223,223,259,0.0439,-0.0464,1.0137,-3.42,9.28,-0.37,0.1777,-0.0128,0.0078,-0.4671
1,toe_down_shake,1,R,115.2,1783834219429,57980,0,223,223,222,223,223,259,0.0513,-0.0459,1.0063,-3.36,15.56,0.61,0.1777,-0.0125,0.0083,-0.4671
1,toe_down_shake,1,R,115.2,1783834219429,57980,1,222,222,222,223,224,258,0.0347,-0.0415,1.0186,-3.85,20.87,0.12,0.1777,-0.0117,0.0084,-0.4671
1,toe_down_shake,1,R,130.1,1783834219449,57981,0,223,223,222,223,222,258,0.0176,-0.0469,1.0254,-5.55,21.79,-0.06,0.1777,-0.0104,0.0090,-0.4671
1,toe_down_shake,1,R,130.1,1783834219449,57981,1,223,222,223,223,222,258,0.0010,-0.0596,0.9883,-6.53,15.75,1.10,0.1777,-0.0095,0.0099,-0.4671
1,toe_down_shake,1,R,174.8,1783834219468,57982,0,222,222,222,222,223,258,-0.0029,-0.0620,0.9873,-5.07,2.75,3.78,0.1778,-0.0091,0.0105,-0.4671
1,toe_down_shake,1,R,174.8,1783834219468,57982,1,222,222,222,223,223,260,0.0112,-0.0605,1.0010,-5.13,-10.56,7.14,0.1781,-0.0093,0.0109,-0.4669
1,toe_down_shake,1,R,188.0,1783834219488,57983,0,223,222,223,222,223,259,0.0322,-0.0640,1.0083,-7.08,-18.07,10.44,0.1786,-0.0105,0.0111,-0.4668
1,toe_down_shake,1,R,188.0,1783834219488,57983,1,222,223,222,223,222,259,0.0352,-0.0688,1.0156,-9.28,-23.56,14.59,0.1792,-0.0119,0.0113,-0.4665
1,toe_down_shake,1,R,217.4,1783834219511,57984,0,223,222,222,223,222,258,0.0454,-0.0708,1.0112,-10.01,-28.32,19.17,0.1800,-0.0136,0.0114,-0.4661
1,toe_down_shake,1,R,217.4,1783834219511,57984,1,223,222,222,223,223,258,0.0571,-0.0737,1.0078,-9.52,-27.77,23.44,0.1810,-0.0154,0.0114,-0.4657
1,toe_down_shake,1,R,231.7,1783834219531,57985,0,223,223,222,223,223,258,0.0591,-0.0703,1.0176,-9.70,-20.14,26.06,0.1821,-0.0169,0.0114,-0.4652
1,toe_down_shake,1,R,231.7,1783834219531,57985,1,222,223,222,223,222,259,0.0513,-0.0918,1.0083,-10.99,-9.22,25.88,0.1833,-0.0178,0.0119,-0.4647
