take,label,device,side,ms,timestamp,serial,packet,p0,p1,p2,p3,p4,p5,ax,ay,az,gx,gy,gz,qw,qx,qy,qz
1,yaw_spin,0,L,5.9,1783833455296,57578,0,221,222,219,256,222,221,-0.0366,0.0044,1.0088,0.00,-1.59,0.06,-0.0016,-0.0089,0.0009,0.4999
1,yaw_spin,0,L,6.0,1783833455296,57578,1,221,223,220,256,222,220,-0.0386,0.0024,1.0088,-0.06,-1.53,0.06,-0.0016,-0.0091,0.0007,0.4999
1,yaw_spin,0,L,27.4,1783833455316,57579,0,220,222,220,256,222,221,-0.0361,-0.0005,1.0063,0.00,-1.46,0.06,-0.0016,-0.0090,0.0003,0.4999
1,yaw_spin,0,L,27.5,1783833455316,57579,1,220,222,219,256,223,221,-0.0371,0.0020,1.0059,0.06,-1.53,0.06,-0.0016,-0.0091,0.0004,0.4999
1,yaw_spin,0,L,44.4,1783833455335,57580,0,220,223,220,256,222,221,-0.0371,0.0005,1.0098,0.06,-1.65,0.12,-0.0016,-0.0091,0.0000,0.4999
1,yaw_spin,0,L,44.4,1783833455335,57580,1,220,222,220,256,221,221,-0.0381,-0.0010,1.0181,0.06,-1.77,0.06,-0.0016,-0.0092,-0.0001,0.4999
1,yaw_spin,0,L,162.2,1783833455355,57581,0,221,222,219,256,222,221,-0.0376,0.0005,1.0103,-0.06,-1.89,0.06,-0.0016,-0.0091,0.0000,0.4999
1,yaw_spin,0,L,162.3,1783833455355,57581,1,220,222,219,256,222,221,-0.0337,0.0039,1.0044,-0.06,-1.59,0.12,-0.0016,-0.0088,0.0002,0.4999
1,yaw_spin,0,L,165.0,1783833455375,57582,0,220,222,219,256,222,221,-0.0352,0.0068,1.0039,0.00,-1.40,0.12,-0.0016,-0.0087,0.0005,0.4999
1,yaw_spin,0,L,165.0,1783833455375,57582,1,221,222,220,256,222,221,-0.0376,0.0068,1.0132,0.06,-1.59,0.18,-0.0016,-0.0088,0.0009,0.4999
1,yaw_spin,0,L,178.1,1783833455394,57583,0,219,223,220,254,222,221,-0.0381,0.0049,1.0127,-0.06,-1.71,0.06,-0.0016,-0.0089,0.0011,0.4999
1,yaw_spin,0,L,178.1,1783833455394,57583,1,220,222,220,256,222,221,-0.0376,0.0034,1.0068,-0.06,-1.65,0.12,-0.0016,-0.0092,0.0010,0.4999
1,yaw_spin,0,L,193.0,1783833455414,57584,0,220,222,219,256,223,221,-0.0356,-0.0010,1.0122,-0.06,-1.53,0.12,-0.0016,-0.0090,0.0006,0.4999
1,yaw_spin,0,L,193.0,1783833455414,57584,1,220,223,220,256,222,221,-0.0396,0.0015,1.0103,-0.12,-1.59,0.12,-0.0016,-0.0092,0.0004,0.4999
1,yaw_spin,0,L,208.1,1783833455496,57588,0,219,222,220,256,222,220,-0.0376,0.0029,1.0073,-0.06,-1.59,0.12,-0.0016,-0.0089,0.0002,0.4999
1,yaw_spin,0,L,208.1,1783833455496,57588,1,220,223,220,256,223,220,-0.0371,0.0010,1.0112,0.00,-1.53,0.12,-0.0016,-0.0089,0.0002,0.4999
1,yaw_spin,0,L,211.2,1783833455515,57589,0,221,222,220,256,223,221,-0.0376,-0.0015,1.0098,0.00,-1.59,0.06,-0.0016,-0.0091,0.0000,0.4999
1,yaw_spin,0,L,211.2,1783833455515,57589,1,220,222,220,256,223,221,-0.0366,-0.0029,1.0117,0.00,-1.77,0.12,-0.0016,-0.0089,-0.0002,0.4999
1,yaw_spin,0,L,221.1,1783833455535,57590,0,220,223,220,256,222,220,-0.0371,-0.0005,1.0054,0.00,-1.65,0.12,-0.0016,-0.0087,-0.0002,0.4999
1,yaw_spin,0,L,221.1,1783833455535,57590,1,220,223,219,255,222,221,-0.0371,0.0029,1.0103,0.06,-1.59,0.06,-0.0016,-0.0088,-0.0002,0.4999
1,yaw_spin,0,L,240.7,1783833455554,57591,0,220,222,220,256,222,221,-0.0352,-0.0010,1.0088,0.06,-1.65,0.12,-0.0016,-0.0087,-0.0002,0.4999
1,yaw_spin,0,L,240.8,1783833455554,57591,1,220,223,219,256,221,221,-0.0376,0.0039,1.0117,0.00,-1.71,0.06,-0.0017,-0.0087,0.0001,0.4999
1,yaw_spin,0,L,255.3,1783833455574,57592,0,220,222,220,256,222,220,-0.0366,0.0039,1.0112,-0.06,-1.65,0.12,-0.0017,-0.0088,0.0004,0.4999
1,yaw_spin,0,L,255.3,1783833455574,57592,1,220,222,219,256,222,221,-0.0356,0.0044,1.0098,-0.06,-1.53,0.06,-0.0017,-0.0087,0.0008,0.4999
1,yaw_spin,0,L,271.5,1783833455593,57593,0,220,222,220,256,222,221,-0.0381,0.0024,1.0107,-0.06,-1.59,0.06,-0.0017,-0.0090,0.0007,0.4999
1,yaw_spin,0,L,271.6,1783833455593,57593,1,220,223,219,256,223,220,-0.0381,0.0034,1.0117,-0.12,-1.59,0.12,-0.0017,-0.0092,0.0008,0.4999
1,yaw_spin,0,L,300.2,1783833455613,57594,0,220,223,219,255,222,221,-0.0396,0.0039,1.0103,-0.12,-1.59,0.12,-0.0017,-0.0095,0.0008,0.4999
1,yaw_spin,0,L,300.3,1783833455613,57594,1,220,223,219,256,222,221,-0.0371,0.0029,1.0083,-0.12,-1.59,0.12,-0.0017,-0.0092,0.0007,0.4999
1,yaw_spin,0,L,315.4,1783833455632,57595,0,219,223,220,256,223,221,-0.0381,0.0024,1.0083,-0.12,-1.65,0.06,-0.0017,-0.0094,0.0005,0.4999
1,yaw_spin,0,L,315.5,1783833455632,57595,1,220,223,220,256,222,220,-0.0386,0.0005,1.0098,-0.18,-1.59,0.12,-0.0017,-0.0092,0.0005,0.4999
1,yaw_spin,0,L,330.9,1783833455652,57596,0,220,223,220,256,222,221,-0.0376,0.0010,1.0093,-0.18,-1.71,0.12,-0.0017,-0.0092,0.0002,0.4999
1,yaw_spin,0,L,330.9,1783833455652,57596,1,220,222,219,256,222,220,-0.0352,0.0024,1.0078,-0.12,-1.65,0.12,-0.0017,-0.0089,0.0004,0.4999
1,yaw_spin,0,L,381.4,1783833455671,57597,0,221,223,220,255,223,221,-0.0396,0.0015,1.0083,-0.12,-1.53,0.12,-0.0017,-0.0092,0.0003,0.4999
1,yaw_spin,0,L,381.4,1783833455671,57597,1,220,223,220,255,223,221,-0.0366,-0.0005,1.0088,-0.06,-1.59,0.12,-0.0017,-0.0090,0.0000,0.4999
1,yaw_spin,0,L,381.5,1783833455695,57598,0,221,223,220,256,222,221,-0.0356,-0.0005,1.0088,-0.06,-1.65,0.12,-0.0017,-0.0089,-0.0002,0.4999
1,yaw_spin,0,L,381.5,1783833455695,57598,1,220,222,219,256,222,221,-0.0371,-0.0005,1.0073,-0.06,-1.59,0.06,-0.0017,-0.0088,-0.0002,0.4999
1,yaw_spin,0,L,390.3,1783833455714,57599,0,220,222,220,256,222,221,-0.0381,-0.0005,1.0078,0.00,-1.65,0.12,-0.0017,-0.0090,-0.0002,0.4999
